(openpowerlifting-py3.10) ➜  openpowerlifting git:(main) ✗ python trainingstarcoder.py --max_steps 5000 --resume_from_checkpoint finetune_starcoder2/checkpoint-1000

^[[A^[[Atrainable params: 151369728 || all params: 1591200768 || trainable%: 9.5129245186488
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/huggingface_hub/utils/_deprecation.py:100: FutureWarning: Deprecated argument(s) used in '__init__': max_seq_length, dataset_text_field. Will not be supported from version '1.0.0'.

Deprecated positional argument(s) used in SFTTrainer, please use the SFTConfig to set these arguments instead.
  warnings.warn(message, FutureWarning)
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/transformers/training_args.py:1965: FutureWarning: `--push_to_hub_token` is deprecated and will be removed in version 5 of 🤗 Transformers. Use `--hub_token` instead.
  warnings.warn(
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/transformers/training_args.py:1965: FutureWarning: `--push_to_hub_token` is deprecated and will be removed in version 5 of 🤗 Transformers. Use `--hub_token` instead.
  warnings.warn(
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/trl/trainer/sft_trainer.py:269: UserWarning: You passed a `max_seq_length` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/trl/trainer/sft_trainer.py:307: UserWarning: You passed a `dataset_text_field` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
Training...
wandb: (1) Create a W&B account
wandb: (2) Use an existing W&B account
wandb: (3) Don't visualize my results
wandb: Enter your choice: 3
wandb: WARNING Invalid choice
wandb: Enter your choice: 3
wandb: You chose "Don't visualize my results"
wandb: Tracking run with wandb version 0.17.1
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
wandb: WARNING URL not available in offline run
{'loss': 2.9314, 'grad_norm': 0.3426077663898468, 'learning_rate': 2e-05, 'epoch': 0.004}
{'loss': 2.8247, 'grad_norm': 0.5724144577980042, 'learning_rate': 4e-05, 'epoch': 0.008}
{'loss': 2.5122, 'grad_norm': 0.7688854336738586, 'learning_rate': 6e-05, 'epoch': 0.012}
{'loss': 2.7368, 'grad_norm': 0.8625675439834595, 'learning_rate': 8e-05, 'epoch': 0.016}
{'loss': 2.3019, 'grad_norm': 1.1354831457138062, 'learning_rate': 0.0001, 'epoch': 0.02}
{'loss': 2.3206, 'grad_norm': 3.378488540649414, 'learning_rate': 0.00012, 'epoch': 0.024}
{'loss': 2.0744, 'grad_norm': 1.3570775985717773, 'learning_rate': 0.00014, 'epoch': 0.028}
{'loss': 1.8436, 'grad_norm': nan, 'learning_rate': 0.00015800000000000002, 'epoch': 0.032}
{'loss': 2.3957, 'grad_norm': 4.027080535888672, 'learning_rate': 0.00017800000000000002, 'epoch': 0.036}
{'loss': 2.1942, 'grad_norm': 1.2452301979064941, 'learning_rate': 0.00019800000000000002, 'epoch': 0.04}
{'loss': 1.8502, 'grad_norm': 4.084047317504883, 'learning_rate': 0.0001999983352025441, 'epoch': 0.044}
{'loss': 1.8054, 'grad_norm': 2.900085210800171, 'learning_rate': 0.00019999258041830607, 'epoch': 0.048}
{'loss': 1.9059, 'grad_norm': 3.3914549350738525, 'learning_rate': 0.0001999827153307312, 'epoch': 0.052}
{'loss': 1.496, 'grad_norm': 2.0497732162475586, 'learning_rate': 0.00019996874034533462, 'epoch': 0.056}
{'loss': 2.0725, 'grad_norm': 1.8106114864349365, 'learning_rate': 0.00019995065603657316, 'epoch': 0.06}
{'loss': 1.9731, 'grad_norm': 1.7514961957931519, 'learning_rate': 0.000199928463147822, 'epoch': 0.064}
{'loss': 1.6582, 'grad_norm': 3.570523262023926, 'learning_rate': 0.00019990216259134386, 'epoch': 0.068}
{'loss': 2.0631, 'grad_norm': 1.4778298139572144, 'learning_rate': 0.0001998717554482516, 'epoch': 0.072}
{'loss': 1.6277, 'grad_norm': 4.078042507171631, 'learning_rate': 0.00019983724296846375, 'epoch': 0.076}
{'loss': 1.8355, 'grad_norm': 1.9864320755004883, 'learning_rate': 0.00019979862657065324, 'epoch': 0.08}
{'loss': 1.9431, 'grad_norm': 2.8769729137420654, 'learning_rate': 0.00019975590784218888, 'epoch': 0.084}
{'loss': 1.7316, 'grad_norm': 4.924728870391846, 'learning_rate': 0.00019970908853907026, 'epoch': 0.088}
{'loss': 1.7061, 'grad_norm': 1.9807220697402954, 'learning_rate': 0.00019965817058585563, 'epoch': 0.092}
{'loss': 1.7857, 'grad_norm': 3.0840351581573486, 'learning_rate': 0.00019960315607558255, 'epoch': 0.096}
{'loss': 1.6178, 'grad_norm': 3.5300915241241455, 'learning_rate': 0.0001995440472696821, 'epoch': 0.1}
{'loss': 1.4387, 'grad_norm': 1.3585745096206665, 'learning_rate': 0.00019948084659788574, 'epoch': 0.104}
{'loss': 1.8342, 'grad_norm': 6.052093029022217, 'learning_rate': 0.00019941355665812558, 'epoch': 0.108}
{'loss': 1.9202, 'grad_norm': 1.362105131149292, 'learning_rate': 0.00019934218021642748, 'epoch': 0.112}
{'loss': 1.633, 'grad_norm': 3.1927781105041504, 'learning_rate': 0.00019926672020679736, 'epoch': 0.116}
{'loss': 2.0792, 'grad_norm': 1.9030426740646362, 'learning_rate': 0.00019918717973110072, 'epoch': 0.12}
{'loss': 1.5047, 'grad_norm': 1.5642791986465454, 'learning_rate': 0.0001991035620589349, 'epoch': 0.124}
{'loss': 1.6355, 'grad_norm': 2.054460048675537, 'learning_rate': 0.000199015870627495, 'epoch': 0.128}
{'loss': 1.5409, 'grad_norm': 2.1825244426727295, 'learning_rate': 0.00019892410904143222, 'epoch': 0.132}
{'loss': 1.8481, 'grad_norm': 1.5228831768035889, 'learning_rate': 0.00019882828107270598, 'epoch': 0.136}
{'loss': 1.7745, 'grad_norm': 5.09263801574707, 'learning_rate': 0.00019872839066042874, 'epoch': 0.14}
{'loss': 1.6073, 'grad_norm': 3.2239630222320557, 'learning_rate': 0.00019862444191070408, 'epoch': 0.144}
{'loss': 1.5039, 'grad_norm': 1.4044709205627441, 'learning_rate': 0.00019851643909645804, 'epoch': 0.148}
{'loss': 1.6572, 'grad_norm': 3.51741623878479, 'learning_rate': 0.0001984043866572632, 'epoch': 0.152}
{'loss': 1.6853, 'grad_norm': 0.8841949105262756, 'learning_rate': 0.0001982882891991565, 'epoch': 0.156}
{'loss': 1.5475, 'grad_norm': 1.8144136667251587, 'learning_rate': 0.00019816815149444977, 'epoch': 0.16}
{'loss': 1.5933, 'grad_norm': 0.8289576768875122, 'learning_rate': 0.00019804397848153342, 'epoch': 0.164}
{'loss': 1.3729, 'grad_norm': 0.7508878111839294, 'learning_rate': 0.0001979157752646737, 'epoch': 0.168}
{'loss': 1.536, 'grad_norm': 2.1276731491088867, 'learning_rate': 0.0001977835471138027, 'epoch': 0.172}
{'loss': 1.7872, 'grad_norm': 1.8165258169174194, 'learning_rate': 0.00019764729946430184, 'epoch': 0.176}
{'loss': 1.4654, 'grad_norm': 2.383781909942627, 'learning_rate': 0.00019750703791677828, 'epoch': 0.18}
{'loss': 1.4823, 'grad_norm': 5.184279918670654, 'learning_rate': 0.0001973627682368349, 'epoch': 0.184}
{'loss': 1.64, 'grad_norm': 2.337721109390259, 'learning_rate': 0.0001972144963548332, 'epoch': 0.188}
{'loss': 1.4945, 'grad_norm': 1.0584999322891235, 'learning_rate': 0.00019706222836564952, 'epoch': 0.192}
{'loss': 1.5313, 'grad_norm': 2.0738327503204346, 'learning_rate': 0.00019690597052842446, 'epoch': 0.196}
{'loss': 1.6322, 'grad_norm': 2.115068197250366, 'learning_rate': 0.00019674572926630567, 'epoch': 0.2}
{'loss': 1.5415, 'grad_norm': 1.3315216302871704, 'learning_rate': 0.00019658151116618385, 'epoch': 0.204}
{'loss': 1.435, 'grad_norm': 1.3839948177337646, 'learning_rate': 0.0001964133229784219, 'epoch': 0.208}
{'loss': 1.5693, 'grad_norm': 5.277719974517822, 'learning_rate': 0.00019624117161657752, 'epoch': 0.212}
{'loss': 1.7607, 'grad_norm': 1.7046406269073486, 'learning_rate': 0.00019606506415711881, 'epoch': 0.216}
{'loss': 1.4566, 'grad_norm': 2.4589056968688965, 'learning_rate': 0.00019588500783913375, 'epoch': 0.22}
{'loss': 1.4359, 'grad_norm': 3.3946352005004883, 'learning_rate': 0.00019570101006403226, 'epoch': 0.224}
{'loss': 1.4338, 'grad_norm': 1.8414881229400635, 'learning_rate': 0.0001955130783952423, 'epoch': 0.228}
{'loss': 1.2068, 'grad_norm': 0.9358095526695251, 'learning_rate': 0.00019532122055789864, 'epoch': 0.232}
{'loss': 1.3874, 'grad_norm': 1.4463573694229126, 'learning_rate': 0.00019512544443852557, 'epoch': 0.236}
{'loss': 1.7293, 'grad_norm': 3.279111385345459, 'learning_rate': 0.00019492575808471247, 'epoch': 0.24}
{'loss': 1.3392, 'grad_norm': 1.105846881866455, 'learning_rate': 0.00019472216970478328, 'epoch': 0.244}
{'loss': 1.3584, 'grad_norm': 1.1813045740127563, 'learning_rate': 0.0001945146876674589, 'epoch': 0.248}
{'loss': 1.6823, 'grad_norm': 4.897843837738037, 'learning_rate': 0.00019430332050151324, 'epoch': 0.252}
{'loss': 1.509, 'grad_norm': 2.2838189601898193, 'learning_rate': 0.00019408807689542257, 'epoch': 0.256}
{'loss': 1.3766, 'grad_norm': 2.1784093379974365, 'learning_rate': 0.00019386896569700853, 'epoch': 0.26}
{'loss': 1.4166, 'grad_norm': 0.8633360266685486, 'learning_rate': 0.00019364599591307425, 'epoch': 0.264}
{'loss': 1.2089, 'grad_norm': 0.9131094217300415, 'learning_rate': 0.0001934191767090343, 'epoch': 0.268}
{'loss': 1.7495, 'grad_norm': 1.5715149641036987, 'learning_rate': 0.0001931885174085377, 'epoch': 0.272}
{'loss': 1.7577, 'grad_norm': 0.6264223456382751, 'learning_rate': 0.00019295402749308497, 'epoch': 0.276}
{'loss': 1.5309, 'grad_norm': 2.2082910537719727, 'learning_rate': 0.00019271571660163793, 'epoch': 0.28}
{'loss': 1.5806, 'grad_norm': 3.826303005218506, 'learning_rate': 0.00019247359453022407, 'epoch': 0.284}
{'loss': 1.4271, 'grad_norm': 0.7209219336509705, 'learning_rate': 0.00019222767123153336, 'epoch': 0.288}
{'loss': 1.452, 'grad_norm': 2.2184195518493652, 'learning_rate': 0.00019197795681450937, 'epoch': 0.292}
{'loss': 1.433, 'grad_norm': 1.07893705368042, 'learning_rate': 0.0001917244615439338, 'epoch': 0.296}
{'loss': 1.3766, 'grad_norm': 1.4187618494033813, 'learning_rate': 0.00019146719584000428, 'epoch': 0.3}
{'loss': 1.6586, 'grad_norm': 2.4059064388275146, 'learning_rate': 0.0001912061702779063, 'epoch': 0.304}
{'loss': 1.5635, 'grad_norm': 1.0006306171417236, 'learning_rate': 0.0001909413955873783, 'epoch': 0.308}
{'loss': 1.5299, 'grad_norm': 1.299811601638794, 'learning_rate': 0.00019067288265227082, 'epoch': 0.312}
{'loss': 1.2976, 'grad_norm': 0.9722449779510498, 'learning_rate': 0.00019040064251009886, 'epoch': 0.316}
{'loss': 1.7872, 'grad_norm': 1.4584935903549194, 'learning_rate': 0.00019012468635158845, 'epoch': 0.32}
{'loss': 1.584, 'grad_norm': 2.7648754119873047, 'learning_rate': 0.00018984502552021635, 'epoch': 0.324}
{'loss': 1.5812, 'grad_norm': 1.7412203550338745, 'learning_rate': 0.000189561671511744, 'epoch': 0.328}
{'loss': 1.6313, 'grad_norm': 1.3458647727966309, 'learning_rate': 0.0001892746359737449, 'epoch': 0.332}
{'loss': 1.5319, 'grad_norm': 1.460942268371582, 'learning_rate': 0.00018898393070512572, 'epoch': 0.336}
{'loss': 1.52, 'grad_norm': 0.9537712335586548, 'learning_rate': 0.0001886895676556415, 'epoch': 0.34}
{'loss': 1.5534, 'grad_norm': 2.171046257019043, 'learning_rate': 0.00018839155892540424, 'epoch': 0.344}
{'loss': 1.3827, 'grad_norm': 0.891879141330719, 'learning_rate': 0.0001880899167643856, 'epoch': 0.348}
{'loss': 1.618, 'grad_norm': 3.126929521560669, 'learning_rate': 0.0001877846535719134, 'epoch': 0.352}
{'loss': 1.6419, 'grad_norm': 2.0574615001678467, 'learning_rate': 0.0001874757818961618, 'epoch': 0.356}
{'loss': 1.3158, 'grad_norm': 1.8916999101638794, 'learning_rate': 0.00018716331443363563, 'epoch': 0.36}
{'loss': 1.276, 'grad_norm': 0.4915868639945984, 'learning_rate': 0.0001868472640286485, 'epoch': 0.364}
{'loss': 1.6373, 'grad_norm': 7.387997150421143, 'learning_rate': 0.00018652764367279461, 'epoch': 0.368}
{'loss': 1.6126, 'grad_norm': 2.565603733062744, 'learning_rate': 0.0001862044665044149, 'epoch': 0.372}
{'loss': 1.4384, 'grad_norm': 1.8439942598342896, 'learning_rate': 0.00018587774580805703, 'epoch': 0.376}
{'loss': 1.3861, 'grad_norm': 2.3556010723114014, 'learning_rate': 0.0001855474950139291, 'epoch': 0.38}
{'loss': 1.4213, 'grad_norm': 3.6868979930877686, 'learning_rate': 0.00018521372769734774, 'epoch': 0.384}
{'loss': 1.486, 'grad_norm': 2.39813232421875, 'learning_rate': 0.00018487645757818015, 'epoch': 0.388}
{'loss': 1.4516, 'grad_norm': 0.8430299758911133, 'learning_rate': 0.0001845356985202798, 'epoch': 0.392}
{'loss': 1.4761, 'grad_norm': 1.346730351448059, 'learning_rate': 0.00018419146453091701, 'epoch': 0.396}
{'loss': 1.4382, 'grad_norm': 0.6636066436767578, 'learning_rate': 0.00018384376976020276, 'epoch': 0.4}
/home/ubuntu/.cache/pypoetry/virtualenvs/openpowerlifting-KFLyni6a-py3.10/lib/python3.10/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
{'loss': 1.4557, 'grad_norm': 1.3363045454025269, 'learning_rate': 0.00018349262850050722, 'epoch': 0.404}
{'loss': 1.3329, 'grad_norm': 3.7786483764648438, 'learning_rate': 0.00018313805518587232, 'epoch': 0.408}
{'loss': 1.4729, 'grad_norm': 0.9776219129562378, 'learning_rate': 0.0001827800643914182, 'epoch': 0.412}
{'loss': 1.222, 'grad_norm': 2.0280978679656982, 'learning_rate': 0.0001824186708327443, 'epoch': 0.416}
{'loss': 1.3145, 'grad_norm': 0.7734864354133606, 'learning_rate': 0.0001820538893653243, 'epoch': 0.42}
{'loss': 1.188, 'grad_norm': 2.2938854694366455, 'learning_rate': 0.00018168573498389564, 'epoch': 0.424}
{'loss': 1.5075, 'grad_norm': 1.8473442792892456, 'learning_rate': 0.00018131422282184286, 'epoch': 0.428}
{'loss': 1.4227, 'grad_norm': 3.4017581939697266, 'learning_rate': 0.00018093936815057594, 'epoch': 0.432}
{'loss': 1.4217, 'grad_norm': 1.225844383239746, 'learning_rate': 0.00018056118637890217, 'epoch': 0.436}
{'loss': 1.3632, 'grad_norm': 0.6700549125671387, 'learning_rate': 0.00018017969305239297, 'epoch': 0.44}
{'loss': 1.4224, 'grad_norm': 2.929745674133301, 'learning_rate': 0.00017979490385274473, 'epoch': 0.444}
{'loss': 1.2934, 'grad_norm': 2.18133544921875, 'learning_rate': 0.0001794068345971344, 'epoch': 0.448}
{'loss': 1.4827, 'grad_norm': 1.2220101356506348, 'learning_rate': 0.00017901550123756906, 'epoch': 0.452}
{'loss': 1.4306, 'grad_norm': 1.3870185613632202, 'learning_rate': 0.0001786209198602304, 'epoch': 0.456}
{'loss': 1.4062, 'grad_norm': 2.0105984210968018, 'learning_rate': 0.00017822310668481333, 'epoch': 0.46}
{'loss': 1.2138, 'grad_norm': 0.8706759810447693, 'learning_rate': 0.00017782207806385945, 'epoch': 0.464}
{'loss': 1.4584, 'grad_norm': 1.0097064971923828, 'learning_rate': 0.00017741785048208458, 'epoch': 0.468}
{'loss': 1.2945, 'grad_norm': 0.8852534294128418, 'learning_rate': 0.00017701044055570136, 'epoch': 0.472}
{'loss': 1.61, 'grad_norm': 2.1827220916748047, 'learning_rate': 0.00017659986503173615, 'epoch': 0.476}
{'loss': 1.4513, 'grad_norm': 2.3580217361450195, 'learning_rate': 0.00017618614078734069, 'epoch': 0.48}
{'loss': 1.4208, 'grad_norm': 6.963593006134033, 'learning_rate': 0.00017576928482909812, 'epoch': 0.484}
{'loss': 1.3828, 'grad_norm': 3.9398324489593506, 'learning_rate': 0.00017534931429232423, 'epoch': 0.488}
{'loss': 1.1996, 'grad_norm': 1.9872972965240479, 'learning_rate': 0.00017492624644036285, 'epoch': 0.492}
{'loss': 1.5255, 'grad_norm': 1.0024183988571167, 'learning_rate': 0.00017450009866387634, 'epoch': 0.496}
{'loss': 1.201, 'grad_norm': 0.8361837267875671, 'learning_rate': 0.00017407088848013071, 'epoch': 0.5}
{'loss': 1.4786, 'grad_norm': 3.1053545475006104, 'learning_rate': 0.00017363863353227546, 'epoch': 0.504}
{'loss': 1.4706, 'grad_norm': 1.968544363975525, 'learning_rate': 0.00017320335158861855, 'epoch': 0.508}
{'loss': 1.1014, 'grad_norm': 1.001348614692688, 'learning_rate': 0.0001727650605418957, 'epoch': 0.512}
{'loss': 1.7147, 'grad_norm': 1.1906787157058716, 'learning_rate': 0.00017232377840853522, 'epoch': 0.516}
{'loss': 1.5824, 'grad_norm': 1.4435288906097412, 'learning_rate': 0.00017187952332791727, 'epoch': 0.52}
{'loss': 1.6831, 'grad_norm': 1.4517748355865479, 'learning_rate': 0.0001714323135616281, 'epoch': 0.524}
{'loss': 1.6844, 'grad_norm': 3.6160871982574463, 'learning_rate': 0.00017098216749270967, 'epoch': 0.528}
{'loss': 1.4034, 'grad_norm': 1.0457487106323242, 'learning_rate': 0.00017052910362490376, 'epoch': 0.532}
{'loss': 1.3174, 'grad_norm': 1.9017677307128906, 'learning_rate': 0.0001700731405818914, 'epoch': 0.536}
{'loss': 1.5534, 'grad_norm': 0.7176085710525513, 'learning_rate': 0.00016961429710652746, 'epoch': 0.54}
{'loss': 1.3121, 'grad_norm': 1.1929118633270264, 'learning_rate': 0.00016915259206007002, 'epoch': 0.544}
{'loss': 1.3575, 'grad_norm': 0.5831860303878784, 'learning_rate': 0.00016868804442140517, 'epoch': 0.548}
{'loss': 1.3894, 'grad_norm': 1.9680525064468384, 'learning_rate': 0.00016822067328626684, 'epoch': 0.552}
{'loss': 1.4327, 'grad_norm': 1.0704572200775146, 'learning_rate': 0.00016775049786645177, 'epoch': 0.556}
{'loss': 1.1943, 'grad_norm': 1.9090466499328613, 'learning_rate': 0.00016727753748903, 'epoch': 0.56}
